Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
RDDT,154.89,2026/04/24,16:02 EDT,1.92999,154.3,154.93,150.57,2931988,20260326,126.15,47.0,,,,,BUY
PANW,178.54,2026/04/24,16:00 EDT,5.330002,174.09,179.07,173.22,5887572,20260206,157.8306,28.0,,,,,BUY
CRWD,448.13,2026/04/24,16:00 EDT,2.7399902,447.935,451.045,435.56,2271728,20260206,388.5182,12.0,,,,,BUY
INOD,42.34,2026/04/24,16:00 EDT,-1.1399994,43.96,44.3043,41.5822,798222,20260205,43.7793,114.0,,,,,BUY
PYPL,50.48,2026/04/24,16:00 EDT,0.72999954,49.81,50.59,49.56,8259250,20260421,51.98,139.0,,,,,SELL
PYPL,50.48,2026/04/24,16:00 EDT,0.72999954,49.81,50.59,49.56,8259250,20260203,43.0389,139.0,,,,,BUY
COIN,199.77,2026/04/24,16:00 EDT,1.8399963,202.085,202.53,196.55,5799055,20260129,196.4,25.0,,,,,BUY
CRSP,48.785,2026/04/24,16:00 EDT,-6.3950005,55.0,55.18,48.77,3851265,20260120,53.29,56.0,,,,,BUY
RBLX,56.09,2026/04/24,16:02 EDT,0.639999,54.85,56.19,52.62,11851110,20260120,80.04,95.0,,,,,BUY
GRAB,3.9,2026/04/24,16:00 EDT,-0.059999943,4.01,4.04,3.88,46225239,20260114,4.6387,1294.0,,,,,BUY
ORCL,173.28,2026/04/24,16:01 EDT,-3.0,180.505,180.64,168.805,29192759,20260129,163.881667,12.0,,,,,BUY
ORCL,173.28,2026/04/24,16:01 EDT,-3.0,180.505,180.64,168.805,29192759,20251217,179.28,33.0,,,,,BUY
CLSK,12.76,2026/04/24,16:00 EDT,0.52999973,12.545,13.225,12.545,26980745,20251215,11.97,276.0,,,,,BUY
UBER,74.64,2026/04/24,16:00 EDT,-0.0599976,74.77,74.77,73.53,12928710,20251210,83.6199,59.0,,,,,BUY
CRCL,99.66,2026/04/24,16:00 EDT,-0.349998,102.265,103.0,97.56,6476951,20251209,88.8801,74.0,,,,,SELL
CRCL,99.66,2026/04/24,16:00 EDT,-0.349998,102.265,103.0,97.56,6476951,20251120,66.9899,74.0,,,,,BUY
AER,138.08,2026/04/24,16:00 EDT,-1.02,138.35,140.04,137.31,1225524,20251125,132.465,37.0,,,,,BUY
